mousedown at (76, 375) on 2024-10-05T09:37:47.329Z
mouseup at (76, 375) on 2024-10-05T09:37:47.334Z
click at (76, 375) on 2024-10-05T09:37:47.335Z
mousedown at (87, 381) on 2024-10-05T09:37:48.880Z
mouseup at (87, 381) on 2024-10-05T09:37:48.881Z
click at (87, 381) on 2024-10-05T09:37:48.885Z
mousedown at (72, 384) on 2024-10-05T09:37:49.429Z
mouseup at (72, 384) on 2024-10-05T09:37:49.432Z
click at (72, 384) on 2024-10-05T09:37:49.434Z
mousedown at (78, 380) on 2024-10-05T09:37:55.676Z
mousedown at (249, 503) on 2024-10-05T09:38:01.458Z
mouseup at (249, 503) on 2024-10-05T09:38:01.465Z
click at (249, 503) on 2024-10-05T09:38:01.466Z
mousedown at (175, 389) on 2024-10-05T09:38:08.152Z
mouseup at (175, 389) on 2024-10-05T09:38:08.156Z
click at (175, 389) on 2024-10-05T09:38:08.158Z
mousedown at (185, 370) on 2024-10-05T09:38:14.354Z
mouseup at (185, 370) on 2024-10-05T09:38:14.357Z
click at (185, 370) on 2024-10-05T09:38:14.358Z
mousedown at (194, 370) on 2024-10-05T09:38:15.079Z
mouseup at (194, 370) on 2024-10-05T09:38:15.084Z
click at (194, 370) on 2024-10-05T09:38:15.086Z
mousedown at (184, 384) on 2024-10-05T09:38:15.482Z
mouseup at (184, 384) on 2024-10-05T09:38:15.486Z
click at (184, 384) on 2024-10-05T09:38:15.488Z
mousedown at (188, 357) on 2024-10-05T09:38:17.521Z
mouseup at (188, 357) on 2024-10-05T09:38:17.524Z
click at (188, 357) on 2024-10-05T09:38:17.526Z
mousedown at (387, 750) on 2024-10-05T09:48:22.908Z
mouseup at (387, 750) on 2024-10-05T09:48:22.910Z
click at (387, 750) on 2024-10-05T09:48:22.912Z
mousedown at (924, 407) on 2024-10-05T10:11:45.824Z
mouseup at (924, 407) on 2024-10-05T10:11:45.936Z
click at (924, 407) on 2024-10-05T10:11:45.938Z
mousedown at (1173, 471) on 2024-10-05T10:11:52.104Z
mouseup at (1242, 405) on 2024-10-05T10:11:54.140Z
click at (1242, 405) on 2024-10-05T10:11:54.141Z
mousedown at (1036, 205) on 2024-10-05T10:11:58.289Z
mouseup at (1173, 390) on 2024-10-05T10:11:59.664Z
click at (1173, 390) on 2024-10-05T10:11:59.665Z
mousedown at (1102, 485) on 2024-10-05T10:12:00.442Z
mouseup at (1230, 506) on 2024-10-05T10:12:01.088Z
click at (1230, 506) on 2024-10-05T10:12:01.089Z
mousedown at (1097, 464) on 2024-10-05T10:12:01.680Z
mouseup at (1194, 366) on 2024-10-05T10:12:03.291Z
click at (1194, 366) on 2024-10-05T10:12:03.292Z
mousedown at (838, 416) on 2024-10-05T10:12:03.975Z
mouseup at (1057, 451) on 2024-10-05T10:12:05.768Z
click at (1057, 451) on 2024-10-05T10:12:05.770Z
mousedown at (938, 304) on 2024-10-05T10:12:07.158Z
mouseup at (1021, 292) on 2024-10-05T10:12:08.337Z
click at (1021, 292) on 2024-10-05T10:12:08.339Z
mousedown at (934, 398) on 2024-10-05T10:12:09.928Z
mouseup at (1262, 391) on 2024-10-05T10:12:19.584Z
click at (1262, 391) on 2024-10-05T10:12:19.585Z
mousedown at (298, 358) on 2024-10-05T10:46:00.071Z
mouseup at (298, 358) on 2024-10-05T10:46:00.086Z
click at (298, 358) on 2024-10-05T10:46:00.087Z
mousedown at (301, 383) on 2024-10-05T10:46:00.943Z
mouseup at (301, 383) on 2024-10-05T10:46:00.961Z
click at (301, 383) on 2024-10-05T10:46:00.963Z
mousedown at (297, 454) on 2024-10-05T10:46:07.071Z
mouseup at (297, 454) on 2024-10-05T10:46:07.073Z
click at (297, 454) on 2024-10-05T10:46:07.075Z
mousedown at (284, 470) on 2024-10-05T10:46:07.567Z
